X-ACCEL	Y-ACCEL	Z-ACCEL	TOTAL MAG	STATUS
-0.459915612	-0.956118143	-0.147679325	1.07121121	normal
-0.387341772	-1.019240506	-0.116962025	1.096615235	normal
-0.366075949	-1.008607595	-0.139746835	1.08204901	normal
-0.404050633	-0.996455696	-0.148860759	1.085513885	normal
-0.408607595	-0.98278481	-0.147341772	1.074493251	normal
-0.501265823	-0.932658228	-0.17164557	1.072651386	normal
-0.568101266	-0.792911392	-0.315949367	1.025315331	normal
-0.384303797	-1.049620253	-0.198987342	1.135336094	normal
-0.478481013	-0.865822785	-0.322025316	1.04033335	normal
-0.619746835	-0.802025316	-0.159493671	1.026045311	normal
-0.463291139	-1.002531646	-0.293164557	1.142652107	normal
-0.391898734	-0.850632911	-0.30835443	0.986024048	normal
-0.636455696	-0.557468354	-0.320506329	0.904749206	normal
0.095696203	-0.17164557	0.636455696	0.66610496	fall
0.107848101	-0.162531646	1.055696203	1.073565192	fall
0.112405063	-0.157974684	1.05721519	1.074846434	fall
0.112405063	-0.174683544	1.055696203	1.075938526	fall
0.113924051	-0.176202532	1.055696203	1.076345899	fall
0.113924051	-0.177721519	1.055696203	1.076595606	fall
0.113924051	-0.174683544	1.055696203	1.076098277	fall
0.113924051	-0.174683544	1.055696203	1.076098277	fall
0.112405063	-0.173164557	1.055696203	1.075692955	fall
0.100253165	-0.173164557	1.055696203	1.074491104	fall
0.100253165	-0.174683544	1.055696203	1.074736949	fall
0.098734177	-0.174683544	1.055696203	1.07459632	fall
0.100253165	-0.174683544	1.055696203	1.074736949	fall
0.098734177	-0.174683544	1.055696203	1.07459632	fall
0.098734177	-0.174683544	1.055696203	1.07459632	fall
0.098734177	-0.174683544	1.055696203	1.07459632	fall
0.101772152	-0.176202532	1.055696203	1.075127609	fall
-0.601687764	-0.886919831	-0.194936709	1.089337079	normal
-0.603037975	-0.879493671	-0.214177215	1.08767449	normal
-0.615189873	-0.86278481	-0.223291139	1.08291973	normal
-0.612151899	-0.871898734	-0.218734177	1.08755781	normal
-0.606075949	-0.884050633	-0.203544304	1.091010477	normal
-0.612151899	-0.879493671	-0.203544304	1.090719647	normal
-0.631898734	-0.861265823	-0.203544304	1.087430509	normal
-0.604556962	-0.90835443	-0.107848101	1.096461629	normal
-0.598481013	-0.909873418	-0.156455696	1.100239766	normal
-0.672911392	-0.818734177	-0.104810127	1.064950965	normal
-0.723037975	-0.808101266	-0.110886076	1.090003344	normal
-0.820253165	-0.695696203	-0.071392405	1.077917128	normal
-0.695696203	-0.795949367	-0.156455696	1.068647269	normal
-0.552911392	-0.926582278	-0.226329114	1.1024929	normal
-0.435949367	-1.029873418	-0.082025316	1.121347074	normal
-0.710886076	-0.795949367	-0.135189873	1.075718695	normal
-0.700253165	-0.795949367	-0.221772152	1.083084843	normal
-0.484556962	-0.981265823	-0.082025316	1.097454426	normal
-0.67443038	-0.882531646	-0.202025316	1.128952023	normal
-0.685063291	-0.706329114	-0.197468354	1.003596672	normal
-0.507341772	-0.988860759	-0.145822785	1.120939588	normal
-0.688101266	-0.844556962	-0.224810127	1.11233961	normal
-0.653164557	-0.768607595	-0.274936709	1.045452901	normal
-0.521012658	-0.953924051	-0.132151899	1.094938084	normal
-0.710886076	-0.84	-0.104810127	1.105415838	normal
-0.650126582	-0.824810127	-0.098734177	1.054857695	normal
-0.50278481	-1.008607595	-0.191392405	1.143115435	normal
